URLs,Title,Year,Genres,IMDB Rating,Duration,Age Rating,Countries,Streaming
https://www.justwatch.com/in/movie/furiosa,Furiosa: A Mad Max Saga,2024,"Action & Adventure, Science-Fiction, Mystery & Thriller",7.5,2h 28min,A,"Australia, United States","Jio Cinema, Amazon Video, Apple TV, Apple TV"
https://www.justwatch.com/in/movie/kishkkindha-kandam,Kishkindha Kaandam,2024,"Mystery & Thriller, Drama",8.6,2h 13min,UA,India,Bookmyshow
https://www.justwatch.com/in/movie/maharaja-2024,Maharaja,2024,"Action & Adventure, Crime, Drama, Mystery & Thriller",8.5,2h 21min,,India,Netflix
https://www.justwatch.com/in/movie/thalavan,Thalavan,2024,"Mystery & Thriller, Crime",7.2,2h 13min,,India,Sony Liv
https://www.justwatch.com/in/tv-show/from,From,2022,"Drama, Horror, Science-Fiction, Mystery & Thriller",7.8,50min,,United States,Amazon Prime Video
https://www.justwatch.com/in/tv-show/taaza-khabar,Taaza Khabar,2023,"Drama, Science-Fiction, Action & Adventure, Comedy, Fantasy, Mystery & Thriller",8.1,32min,,India,Hotstar
https://www.justwatch.com/in/tv-show/the-penguin,The Penguin,2024,"Drama, Crime, Fantasy",8.8,57min,,United States,Jio Cinema
https://www.justwatch.com/in/tv-show/nobody-wants-this,Nobody Wants This,2024,Comedy,8.0,22min,,United States,Netflix
https://www.justwatch.com/in/tv-show/dan-da-dan,Dan Da Dan,2024,"Action & Adventure, Science-Fiction, Comedy, Fantasy, Romance, Mystery & Thriller, Animation",8.6,1h 9min,,Japan,"Netflix, Amazon Prime Video, Crunchyroll, Crunchyroll Amazon Channel, Anime Times Amazon Channel"
https://www.justwatch.com/in/tv-show/agatha-house-of-harkness,Agatha All Along,2024,"Science-Fiction, Comedy, Drama, Fantasy, Action & Adventure",7.0,58min,,United States,Hotstar
https://www.justwatch.com/in/tv-show/gyaarah-gyaarah,Gyaarah Gyaarah,2024,"Drama, Fantasy, Science-Fiction",8.2,3min,A,India,Zee5
https://www.justwatch.com/in/tv-show/tulsa-king,Tulsa King,2022,"Drama, Crime",8.0,59min,,United States,Jio Cinema
https://www.justwatch.com/in/tv-show/shogun-2024,Shōgun,2024,"Drama, War & Military, History",8.6,59min,,United States,Hotstar
https://www.justwatch.com/in/tv-show/house-of-the-dragon,House of the Dragon,2022,"Science-Fiction, Drama, Action & Adventure, Romance, Fantasy",8.4,47min,A,United States,Jio Cinema
https://www.justwatch.com/in/tv-show/farzi,Farzi,2023,"Drama, Crime, Mystery & Thriller",8.3,1h 1min,,India,Amazon Prime Video
https://www.justwatch.com/in/tv-show/highway-love,Highway Love,2023,"Romance, Comedy",7.4,44min,,India,"MX Player, Amazon miniTV"
https://www.justwatch.com/in/tv-show/the-judge-from-hell,The Judge from Hell,2024,"Drama, Science-Fiction, Crime, Comedy, Fantasy, Horror, Romance",7.7,27min,,South Korea,Hotstar
https://www.justwatch.com/in/tv-show/gutar-gu,Gutar Gu,2023,"Drama, Romance, Comedy",8.3,51min,,India,"MX Player, Amazon miniTV"
https://www.justwatch.com/in/tv-show/the-old-man,The Old Man,2022,"Action & Adventure, Drama, Mystery & Thriller",7.6,1h 2min,,United States,Hotstar
https://www.justwatch.com/in/tv-show/gyeongseong-creature,Gyeongseong Creature,2023,"Science-Fiction, Mystery & Thriller, Action & Adventure, Drama, History, Horror",7.3,59min,,South Korea,Netflix
https://www.justwatch.com/in/tv-show/the-devils-hour,The Devil's Hour,2022,"Crime, Drama, Mystery & Thriller",7.6,33min,,United Kingdom,Amazon Prime Video
https://www.justwatch.com/in/tv-show/heartstopper,Heartstopper,2022,"Romance, Drama",8.5,25min,,United Kingdom,Netflix
https://www.justwatch.com/in/tv-show/dragon-ball-daima,Dragon Ball DAIMA,2024,"Animation, Action & Adventure, Comedy, Science-Fiction, Fantasy",8.4,57min,,Japan,"Netflix, Crunchyroll, Crunchyroll Amazon Channel"
https://www.justwatch.com/in/tv-show/slow-horses,Slow Horses,2022,"Drama, Mystery & Thriller, Crime, Comedy",8.2,50min,A,"United States, United Kingdom",Apple TV Plus
https://www.justwatch.com/in/tv-show/bleach-thousand-year-blood-war,Bleach: Thousand-Year Blood War,2022,"Animation, Action & Adventure, Fantasy",9.0,,,Japan,"Netflix, Amazon Prime Video, Hotstar, Jio Cinema, Anime Times Amazon Channel"
